director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Pupi Avati,104,Francesca Neri,, Drama | War,Silvio Orlando,Il papà di Giovanna,Ezio Greggio,cinema|italy|murder|execution|bomb,,2011,6.6
Kenneth Glenaan,83,Steve Evets,, Drama,Robert Carlyle,Summer,Rachael Blake,dying friend|friendship|vomiting|physical disability|self mutilation,,2008,6.8
Duane Graves,86,Kyle Nelson,, Drama | Horror | Mystery | Thriller,William McBride,The Wild Man of the Navidad,Michael Retzloff,texas|creature|bone|wheelchair|urban legend,7000,2008,4.8
Tom Six,8080,René de Wit,, Comedy | Drama | Music,Dries Roelvink,I Love Dries,Rikkie de Wit,low budget film|kidnapping,150000,2008,4.3
Stian Kristiansen,90,Arthur Berning,, Comedy | Drama | Music | Romance,Rolf Kristian Larsen,Mannen som elsket Yngve,Ida Elise Broch,gay kiss|brief female nudity|character name in title|teenage boy|band,,2008,7.0
David Mackay,100,Britt McKillip,, Drama | Family,Dean Cain,Ace of Hearts,Mike Dopud,partner|police|police dog|dog|family relationships,,2008,5.8
Steven Maguire,,Mackenzie Rosman,, Action | Fantasy | Horror | Mystery,Brad Dourif,Fading of the Cries,Hallee Hirsh,,450000,2008,3.2
Matthew Thompson,86,Aaron Taylor-Johnson,, Drama,Thomas Grant,Dummy,Emma Catherwood,,,2009,7.1
Justin Kerrigan,81,Arron Fuller,, Drama,Robert Carlyle,I Know You Know,David Bradley,repetition in title,,2009,6.3
Yukio Ninagawa,,Kengo Kôra,, Thriller,Yuriko Yoshitaka,Hebi ni piasu,Arata Iura,,,2008,6.5
