director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
James Cameron,162171178,Zoe Saldana,760505847122010, Action | Adventure | Fantasy | Sci-Fi,Sam Worthington,Avatar,Sigourney Weaver,paraplegic|avatar|marine|native|future,237000000,2009,7.9
Michael Bay,150,Megan Fox,40207668992009, Action | Adventure | Sci-Fi,Shia LaBeouf,Transformers: Revenge of the Fallen,Josh Duhamel,decepticon|autobot|sun|symbol|machine,200000000,2009,6.0
David Yates,153,Emma Watson,301956980112009, Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Half-Blood Prince,Rupert Grint,professor|book|potion|blood|interracial kiss,250000000,2009,7.5
Chris Weitz,130,Robert Pattinson,296623634292010, Adventure | Drama | Fantasy | Romance,Kristen Stewart,The Twilight Saga: New Moon,Taylor Lautner,vampire|forks washington|werewolf|title same as book|protecting a woman,50000000,2009,4.6
Pete Docter,96,Jordan Nagai,292979556302009, Animation | Adventure | Comedy | Family,Edward Asner,Up,John Ratzenberger,south america|house|balloon|boy|friend,175000000,2009,8.3
Todd Phillips,100108,Bradley Cooper,277313371112009, Comedy,Zach Galifianakis,The Hangover,Justin Bartha,hangover|morning after|hedonism|drunkenness|female nudity,35000000,2009,7.8
J.J. Abrams,127,Zachary Quinto,257704099252009, Action | Adventure | Sci-Fi,Chris Pine,Star Trek,Simon Pegg,vulcan|box office hit|future|lifted by the throat|star trek,150000000,2009,8.0
John Lee Hancock,,Sandra Bullock,255950375142010, Biography | Drama | Sport,Quinton Aaron,The Blind Side,Tim McGraw,american football|football star|high school football|based on true story|left tackle,29000000,2009,7.7
Betty Thomas,88,Zachary Levi,219613391142010, Animation | Comedy | Family | Fantasy | Music,Jason Lee,Alvin and the Chipmunks: The Squeakquel,David Cross,chipmunk|school|hospital|waste container|adidas,75000000,2009,4.5
Guy Ritchie,128,Jude Law,209019489232010, Action | Adventure | Crime | Mystery | Thriller,Robert Downey Jr.,Sherlock Holmes,Rachel McAdams,sherlock holmes|black magic|scotland yard inspector|professor moriarty|bridge construction,90000000,2009,7.6
Rob Letterman,94,Rainn Wilson,198332128212009, Animation | Action | Adventure | Comedy | Family | Sci-Fi,Reese Witherspoon,Monsters vs. Aliens,Stephen Colbert,giant|alien|giantess|alien invasion|alien space craft,175000000,2009,6.5
Carlos Saldanha,94,John Leguizamo,196573705202009, Animation | Action | Adventure | Comedy | Family,Ray Romano,Ice Age: Dawn of the Dinosaurs,Denis Leary,egg|rescue|weasel|squirrel|lost world,90000000,2009,7.0
Gavin Hood,107119,Liev Schreiber,179883016252009, Action | Adventure | Sci-Fi | Thriller,Hugh Jackman,X-Men Origins: Wolverine,Ryan Reynolds,commando|wolverine the character|civil war|claw fight|army,150000000,2009,6.7
Shawn Levy,105,Owen Wilson,177243721302009, Adventure | Comedy | Family | Fantasy,Ben Stiller,Night at the Museum: Battle of the Smithsonian,Amy Adams,museum|security guard|tyrannosaurus rex|hdtv|motorcycle,150000000,2009,5.9
Roland Emmerich,158,Thandie Newton,166112167192010, Action | Adventure | Sci-Fi,John Cusack,2012,Chiwetel Ejiofor,ark|writer|president|catastrophe|geologist,200000000,2009,5.8
Anne Fletcher,108,Ryan Reynolds,163947053302009, Comedy | Drama | Romance,Sandra Bullock,The Proposal,Mary Steenburgen,male objectification|father son relationship|alaska|deportation|sitka alaska,40000000,2009,6.7
Justin Lin,107,Paul Walker,155022220262009, Action | Crime | Thriller,Vin Diesel,Fast & Furious,Michelle Rodriguez,fbi|driver|desert|car|undercover cop,85000000,2009,6.7
Stephen Sommers,118,Channing Tatum,150167630302009, Action | Adventure | Sci-Fi | Thriller,Dennis Quaid,G.I. Joe: The Rise of Cobra,Marlon Wayans,gi joe|warhead|cobra|snake|train,175000000,2009,5.8
Robert Zemeckis,96,Gary Oldman,137850096292010, Animation | Drama | Family | Fantasy,Jim Carrey,A Christmas Carol,Colin Firth,scrooge|christmas|ghost|christmas eve|charles dickens,200000000,2009,6.8
