director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
George Lucas,140,Natalie Portman,380262555142005, Action | Adventure | Fantasy | Sci-Fi,Hayden Christensen,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor,elongated cry of no|vision|robotic midwife|friends become enemies|kicked in the butt,113000000,2005,7.6
Andrew Adamson,143150,Georgie Henley,29170984552006, Adventure | Family | Fantasy,Tilda Swinton,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley,lion|professor|hide and seek|talking animal|giant,180000000,2005,6.9
Mike Newell,157166,Emma Watson,289994397312006, Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Goblet of Fire,Rupert Grint,tournament|goblet|fire|wizard|magic,150000000,2005,7.7
Steven Spielberg,116,Dakota Fanning,234277056182005, Adventure | Sci-Fi | Thriller,Tom Cruise,War of the Worlds,Tim Robbins,alien|storm|survival|tripod|fight,132000000,2005,6.5
Peter Jackson,187201,Jack Black,218051260312006, Action | Adventure | Drama | Romance,Naomi Watts,King Kong,Adrien Brody,gorilla|island|king kong|ape abducts a woman|animal name in title,207000000,2005,7.2
David Dobkin,119128,Vince Vaughn,209218368162005, Comedy | Romance,Owen Wilson,Wedding Crashers,Rachel McAdams,divorce|rape|prostitute|assault|wedding,40000000,2005,7.0
Tim Burton,115,Freddie Highmore,20645643122005, Adventure | Comedy | Family | Fantasy,Johnny Depp,Charlie and the Chocolate Factory,David Kelly,tween girl|miniaturization|psychiatrist|cannibalism|gay stereotype,150000000,2005,6.7
Christopher Nolan,140128,Michael Caine,205343774282005, Action | Adventure,Christian Bale,Batman Begins,Ken Watanabe,social decay|deception|well|falling down a well|falling into a well,150000000,2005,8.3
Eric Darnell,86,Ben Stiller,19313671972005, Animation | Adventure | Comedy | Family,Chris Rock,Madagascar,David Schwimmer,lemur|jungle|zoo|escape|madagascar,75000000,2005,6.9
Doug Liman,120126,Angelina Jolie,18633610392005, Action | Comedy | Crime | Romance | Thriller,Brad Pitt,Mr. & Mrs. Smith,Adam Brody,secret agent|assassin|target|marriage|suburb,120000000,2005,6.5
Andy Tennant,118,Eva Mendes,17757514262005, Comedy | Romance,Will Smith,Hitch,Kevin James,gossip|quitting a job|newspaper|friendship|advice,70000000,2005,6.6
Peter Segal,113,Burt Reynolds,158115031302005, Comedy | Crime | Sport,Adam Sandler,The Longest Yard,Chris Rock,football|warden|prison|coach|convict,82000000,2005,6.4
Tim Story,106125,Michael Chiklis,154695569232005, Action | Adventure | Family | Sci-Fi,Ioan Gruffudd,Fantastic Four,Chris Evans,fantastic four|lingerie slip|critically bashed|masked man|flying,100000000,2005,5.7
Mark Dindal,81,Joan Cusack,13538150772006, Animation | Adventure | Comedy | Family | Sci-Fi,Zach Braff,Chicken Little,Garry Marshall,chicken|panic|alien invasion|fish|friend,150000000,2005,5.8
Chris Wedge,91,Halle Berry,12820001222005, Animation | Adventure | Comedy | Family | Sci-Fi,Ewan McGregor,Robots,Mel Brooks,robot|cgi animation|dancing robot|animated robot|family relationship,75000000,2005,6.3
James Mangold,136153,Reese Witherspoon,119518352282006, Biography | Drama | Music | Romance,Joaquin Phoenix,Walk the Line,Ginnifer Goodwin,prison|concert|guitar|1960s|accident,28000000,2005,7.9
Adam Shankman,95,Brittany Snow,11300688082005, Action | Comedy | Drama | Family | Thriller,Vin Diesel,The Pacifier,Max Thieriot,male nanny|death of husband|nanny|bodyguard|wrestling match,56000000,2005,5.5
Dean Parisot,90,Téa Leoni,110332737242006, Comedy | Crime,Jim Carrey,Fun with Dick and Jane,Alec Baldwin,ceo|suburb|animal abuse|heist|unemployment,100000000,2005,6.1
Judd Apatow,116112133,Catherine Keener,10924347892005, Comedy | Romance,Steve Carell,The 40-Year-Old Virgin,Paul Rudd,cheating on girlfriend|car accident|porno movie|40 year old|collection,26000000,2005,7.1
Robert Schwentke,98,Peter Sarsgaard,8970698832006, Drama | Mystery | Thriller,Jodie Foster,Flightplan,Sean Bean,disappearance|child|containment|strong female lead|strong female character,55000000,2005,6.2
Darren Lynn Bousman,9395,Beverley Mitchell,87025093302005, Horror | Mystery,Donnie Wahlberg,Saw II,Franky G,serial killer|nerve gas|death|detective|trap,4000000,2005,6.6
Ang Lee,134,Heath Ledger,83025853142006, Drama | Romance,Jake Gyllenhaal,Brokeback Mountain,Michelle Williams,gay relationship|male nudity|homosexuality|mountain|ranch,14000000,2006,7.7
Robert Luketic,101,Michael Vartan,8293130122005, Comedy | Romance,Jennifer Lopez,Monster-in-Law,Jane Fonda,scheme|breakdown|mother in law|wedding|fight,60000000,2005,5.5
Adam Shankman,94,Bonnie Hunt,82569532282006, Adventure | Comedy | Family,Steve Martin,Cheaper by the Dozen 2,Hilary Duff,vacation|rival|competition|children|second part,60000000,2005,5.4
Brian Levant,95,Nia Long,82301521202005, Adventure | Comedy | Family | Romance,Ice Cube,Are We There Yet?,Aleisha Allen,car fire|cockroach|independent film|new year|children,32000000,2005,4.6
Jay Chandrasekhar,104107,Johnny Knoxville,80270227282005, Action | Adventure | Comedy,Seann William Scott,The Dukes of Hazzard,Jessica Simpson,1969 dodge charger|tow truck|misogynist|bikini|farm,50000000,2005,5.1
Hideo Nakata,110128,David Dorfman,7588827062005, Horror | Mystery | Sci-Fi,Naomi Watts,The Ring Two,Sissy Spacek,videotape|second part|writer|cartoon on tv|foreign language adaptation,50000000,2005,5.4
Francis Lawrence,121,Rachel Weisz,75500759202005, Drama | Fantasy | Horror | Thriller,Keanu Reeves,Constantine,Djimon Hounsou,hell|demon|twin|suicide|twin sister,100000000,2005,6.9
Scott Derrickson,119122,Tom Wilkinson,7507245442005, Drama | Horror | Thriller,Laura Linney,The Exorcism of Emily Rose,Shohreh Aghdashloo,demonic possession|priest|lawyer|exorcism|death,20000000,2005,6.7
John Singleton,109,Tyrese Gibson,74484168182005, Action | Crime | Drama | Mystery | Thriller,Mark Wahlberg,Four Brothers,Garrett Hedlund,four brothers|murder|funeral|corrupt police|bare butt,45000000,2005,6.9
Frank Miller,124147,Clive Owen,7409886252005, Crime | Thriller,Mickey Rourke,Sin City,Bruce Willis,neo noir|night|based on graphic novel|corruption|anthology,40000000,2005,8.0
Sydney Pollack,128,Sean Penn,72515360222005, Crime | Mystery | Thriller,Nicole Kidman,The Interpreter,Catherine Keener,assassination|interpreter|african|dialect|threat,80000000,2005,6.4
James McTeigue,132,Natalie Portman,70496802232006, Action | Drama | Thriller,Hugo Weaving,V for Vendetta,Rupert Graves,dystopia|government|terrorist|freedom|revolution,54000000,2006,8.2
Breck Eisner,124,Penélope Cruz,68642452292005, Action | Adventure | Comedy | Thriller,Matthew McConaughey,Sahara,Steve Zahn,beach|civil war|desert|ship|dictator,130000000,2005,6.0
Kevin Rodney Sullivan,105,Bernie Mac,67962333202005, Comedy | Romance,Ashton Kutcher,Guess Who,Zoe Saldana,engagement|argument|family relationships|embarrassment|white male black female relationship,35000000,2005,5.9
Thomas Carter,136,Rick Gonzalez,67253092292005, Drama | Sport,Samuel L. Jackson,Coach Carter,Robert Ri'chard,contract|high school|coach|basketball|basketball coach,30000000,2005,7.2
Angela Robinson,101,Michael Keaton,6600200472005, Adventure | Comedy | Family | Fantasy | Romance | Sport,Lindsay Lohan,Herbie Fully Loaded,Cheryl Hines,automobile racing|car|nascar|street racing|mechanic,50000000,2005,4.8
Andrew Douglas,90,Melissa George,64255243202005, Drama | Horror | Mystery | Thriller,Ryan Reynolds,The Amityville Horror,Jimmy Bennett,murder|haunted house|nightmare|priest|ghost,19000000,2005,6.0
Mike Mitchell,100,Kelly Preston,63939454252005, Adventure | Comedy | Family | Sci-Fi,Kurt Russell,Sky High,Michael Angarano,coming of age|superpower|sidekick|friend|high school,35000000,2005,6.2
Sam Mendes,125,Jamie Foxx,62647540132006, Action | Drama | War,Jake Gyllenhaal,Jarhead,Lucas Black,gulf war|american abroad|u.s. military|u.s. soldier|u. s. marines dress uniform,72000000,2005,7.1
Nora Ephron,102,Will Ferrell,62252415192005, Comedy | Fantasy | Romance,Nicole Kidman,Bewitched,Shirley MacLaine,witch|actor|actress|spell|hollywood,85000000,2005,4.8
Ron Howard,144,Renée Zellweger,61644321252005, Biography | Drama | Sport,Russell Crowe,Cinderella Man,Craig Bierko,boxing|dream|love|great depression|boxer,88000000,2005,8.0
Wes Craven,85,Cillian Murphy,5785910572005, Mystery | Thriller,Rachel McAdams,Red Eye,Brian Cox,flight|hotel manager|hotel|airport|plane,26000000,2005,6.5
Rob Marshall,145,Ken Watanabe,57010853102006, Drama | Romance,Ziyi Zhang,Memoirs of a Geisha,Michelle Yeoh,geisha|japan|jealousy|1920s|coming of age,85000000,2005,7.3
Steve Box,85,Helena Bonham Carter,56068547302005, Animation | Comedy | Family | Mystery | Sci-Fi,Peter Sallis,The Curse of the Were-Rabbit,Ralph Fiennes,stop motion animation|vegetable|competition|pest control|giant vegetable,30000000,2005,7.5
Geoffrey Sax,101,Deborah Kara Unger,55865715182005, Drama | Horror | Mystery | Thriller,Michael Keaton,White Noise,Ian McNeice,river|obsession|architect|voice|grave,10000000,2005,5.5
F. Gary Gray,118,Uma Thurman,55808744222005, Comedy | Crime | Music,John Travolta,Be Cool,Dwayne Johnson,russian|concert|widow|sequel|mobster,53000000,2005,5.7
Raja Gosnell,88,Rene Russo,53359917102006, Comedy | Family | Fantasy | Romance,Dennis Quaid,"Yours, Mine & Ours",Jerry O'Connell,blended family|family relationships|stepfamily|large family|marriage,45000000,2005,5.4
Tim Burton,77,Helena Bonham Carter,53337608162005, Animation | Drama | Family | Fantasy | Musical | Romance,Johnny Depp,Corpse Bride,Emily Watson,puppet animation|horror for children|beyond death|surrealism|living dead,40000000,2005,7.4
Jesse Dylan,95,Robert Duvall,52580895292005, Comedy | Family | Romance | Sport,Will Ferrell,Kicking & Screaming,Josh Hutcherson,soccer|suburb|slapstick comedy|child|book,45000000,2005,5.6
John Polson,101,Dakota Fanning,51097664292005, Drama | Horror | Mystery | Thriller,Robert De Niro,Hide and Seek,Famke Janssen,psychologist|bathtub|smothered with a pillow|pushed out a window|telescope,30000000,2005,5.9
Cory Edwards,80,Glenn Close,5105378772006, Animation | Action | Comedy | Crime | Family | Mystery,Anne Hathaway,Hoodwinked!,Patrick Warburton,wolf|red riding hood|axe|woodsman|animal,17500000,2006,6.5
