director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Lee Unkrich,103,Tim Allen,414984497262010, Animation | Adventure | Comedy | Family | Fantasy,Tom Hanks,Toy Story 3,Joan Cusack,toy|college|escape|day care|day care center,200000000,2010,8.3
Tim Burton,108,Johnny Depp,33418520622010, Adventure | Family | Fantasy,Mia Wasikowska,Alice in Wonderland,Helena Bonham Carter,shrinking potion|mistaking reality for dream|shrinking|alice in wonderland|queen,200000000,2010,6.5
Jon Favreau,124,Mickey Rourke,312057433132010, Action | Adventure | Sci-Fi,Robert Downey Jr.,Iron Man 2,Gwyneth Paltrow,tony stark|hammer|military|revenge|monaco,200000000,2010,7.0
David Slade,124131,Robert Pattinson,300523113152010, Adventure | Drama | Fantasy | Romance,Kristen Stewart,The Twilight Saga: Eclipse,Taylor Lautner,vampire|graduation|revenge|friendship|werewolf,68000000,2010,4.9
David Yates,146,Emma Watson,29498043412011, Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 1,Rupert Grint,immortality|power|mission|race against time|magic,150000000,2010,7.7
Christopher Nolan,148,Joseph Gordon-Levitt,292568851312010, Action | Adventure | Sci-Fi | Thriller,Leonardo DiCaprio,Inception,Ellen Page,dream|subconscious|ambiguous ending|thief|architecture,160000000,2010,8.8
Pierre Coffin,9587,Jason Segel,251501645142011, Animation | Adventure | Comedy | Family,Steve Carell,Despicable Me,Russell Brand,girl|moon|white picket fence|pyramid|minion,69000000,2010,7.7
Mike Mitchell,93,Cameron Diaz,23837198732010, Animation | Adventure | Comedy | Family | Fantasy,Mike Myers,Shrek Forever After,Eddie Murphy,female warrior|alternate world|fairy tale parody|ogre|true love,165000000,2010,6.4
Dean DeBlois,98,Gerard Butler,217387997162010, Animation | Action | Adventure | Comedy | Family | Fantasy,Jay Baruchel,How to Train Your Dragon,Christopher Mintz-Plasse,dragon|viking|village|island|training,165000000,2010,8.2
Nathan Greno,,Zachary Levi,200807262272011, Animation | Adventure | Comedy | Family | Fantasy | Musical | Romance,Mandy Moore,Tangled,Donna Murphy,disney|17th century|based on fairy tale|flower|tower,260000000,2010,7.8
Harald Zwart,140,Jaden Smith,176591618172010, Action | Drama | Family | Sport,Jackie Chan,The Karate Kid,Taraji P. Henson,kung fu|bully|china|kid|12 year old,40000000,2010,6.2
Joseph Kosinski,,Garrett Hedlund,17205178782011, Action | Adventure | Sci-Fi,Jeff Bridges,Tron: Legacy,Olivia Wilde,arcade|disappearance|escape|warrior|bridge,170000000,2010,6.8
Ethan Coen,110,Matt Damon,171031347222011, Adventure | Drama | Western,Jeff Bridges,True Grit,Hailee Steinfeld,murder|sheriff|u.s. marshal|texas ranger|arkansas,38000000,2010,7.7
Louis Leterrier,106,Liam Neeson,163192114162010, Action | Adventure | Fantasy,Sam Worthington,Clash of the Titans,Ralph Fiennes,kraken|zeus|hand to hand combat|famous line|rape,125000000,2010,5.8
Dennis Dugan,102,Salma Hayek,162001186222010, Comedy,Adam Sandler,Grown Ups,Kevin James,basketball|coach|high school basketball|high school|daughter,80000000,2010,6.0
Paul Weitz,98,Teri Polo,148383780112011, Comedy | Romance,Ben Stiller,Little Fockers,Robert De Niro,critically bashed|nurse|male nurse|suspicion|birthday,100000000,2010,5.5
Tom McGrath,95,Jonah Hill,148337537182011, Animation | Action | Comedy | Family | Sci-Fi,Will Ferrell,Megamind,Brad Pitt,superhero|prison|city|battle|planet,130000000,2010,7.3
Tom Hooper,118,Geoffrey Rush,138795342102011, Biography | Drama,Colin Firth,The King's Speech,Helena Bonham Carter,speech|king|speech therapist|king george vi|throne,15000000,2010,8.0
M. Night Shyamalan,103,Nicola Peltz,131564731172010, Action | Adventure | Family | Fantasy,Noah Ringer,The Last Airbender,Jackson Rathbone,fire|water|avatar|kingdom|tribe,150000000,2010,4.2
Martin Scorsese,138,Emily Mortimer,12796840542010, Mystery | Thriller,Leonardo DiCaprio,Shutter Island,Mark Ruffalo,surprise ending|self delusion|female prisoner|plot twist|memory,80000000,2010,8.1
Adam McKay,107116,Mark Wahlberg,119219978122010, Action | Comedy | Crime,Will Ferrell,The Other Guys,Derek Jeter,detective|new york city|police|investigation|capitalist,100000000,2010,6.7
Phillip Noyce,100104101,Liev Schreiber,118311368222010, Action | Crime | Mystery | Thriller,Angelina Jolie,Salt,Chiwetel Ejiofor,strong female lead|cia|russian|on the run|russian spy,110000000,2010,6.4
Garry Marshall,125,Jamie Foxx,110476776302010, Comedy | Romance,Julia Roberts,Valentine's Day,Anne Hathaway,valentine|valentine's day|tv station|flower|indian restaurant,52000000,2010,5.7
Darren Aronofsky,108,Mila Kunis,106952327292011, Drama | Thriller,Natalie Portman,Black Swan,Vincent Cassel,ballerina|ballet|madness|female protagonist|fear,13000000,2010,8.0
Ridley Scott,140131156,Cate Blanchett,105219735302010, Action | Adventure | Drama | History | Romance,Russell Crowe,Robin Hood,Matthew Macfadyen,archer|robin hood|england|1190s|king of england,200000000,2010,6.7
Michael Apted,113,Skandar Keynes,10438362482011, Adventure | Family | Fantasy,Ben Barnes,The Chronicles of Narnia: The Voyage of the Dawn Treader,Georgie Henley,warrior|mouse|quest|dragon|king,155000000,2010,6.3
Sylvester Stallone,103113,Jason Statham,102981571152010, Action | Adventure | Thriller,Sylvester Stallone,The Expendables,Jet Li,rescue mission|action hero|assassination attempt|machine gun|explosion,80000000,2010,6.5
Todd Phillips,95,Zach Galifianakis,100448498212011, Comedy | Drama,Robert Downey Jr.,Due Date,Michelle Monaghan,birth|actor|misadventure|aspiring actor|suitcase,65000000,2010,6.6
Eric Brevig,,Justin Timberlake,10016906812011, Animation | Adventure | Comedy | Family,Dan Aykroyd,Yogi Bear,Anna Faris,park|bear|mayor|yogi bear|sabotage,80000000,2010,4.6
Shawn Levy,88101,Tina Fey,9871140432010, Comedy | Crime | Romance | Thriller,Steve Carell,Date Night,Mark Wahlberg,reservation|city|night|restaurant|new york city,55000000,2010,6.3
David Fincher,120,Andrew Garfield,96917897252011, Biography | Drama,Jesse Eisenberg,The Social Network,Justin Timberlake,facebook|competitiveness|creator|intellectual property|entrepreneur,40000000,2010,7.7
Michael Patrick King,146,Kim Cattrall,95328937132010, Comedy | Drama | Romance,Sarah Jessica Parker,Sex and the City 2,Kristin Davis,abu dhabi|united arab emirates|muslim|nanny|missionary position,100000000,2010,4.3
Albert Hughes,118,Mila Kunis,9482270772010, Action | Adventure | Drama | Thriller,Denzel Washington,The Book of Eli,Ray Stevenson,post apocalypse|book|blind|water|long take,80000000,2010,6.9
David O. Russell,116,Christian Bale,93571803252011, Biography | Drama | Sport,Mark Wahlberg,The Fighter,Amy Adams,boxing|boxer|crack cocaine|boxing match|lowell massachusetts,25000000,2010,7.9
Ben Affleck,125150,Rebecca Hall,92173235312010, Crime | Drama | Thriller,Ben Affleck,The Town,Jon Hamm,bank robbery|criminal gang|heist|bank manager|prison,37000000,2010,7.6
Mike Newell,116,Gemma Arterton,90755643172010, Action | Adventure | Fantasy | Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time,Ben Kingsley,persia|alamut|dagger|prince|sand,200000000,2010,6.6
Robert Schwentke,111,Helen Mirren,90356857282011, Action | Comedy | Crime | Thriller,Bruce Willis,RED,Morgan Freeman,spy|female assassin|cia agent|die hard scenario|safe room,58000000,2010,7.1
Chris Columbus,118,Kevin McKidd,88761720252010, Adventure | Family | Fantasy,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief,Steve Coogan,lightning|lightning bolt|greek|teenager|poseidon,95000000,2010,5.9
Tod Williams,9198,Micah Sloat,84749884142011, Horror,Katie Featherston,Paranormal Activity 2,Molly Ephraim,security camera|house|carlsbad california|nanny|california,3000000,2010,5.7
Tony Scott,98,Chris Pine,8155747942011, Action | Thriller,Denzel Washington,Unstoppable,Rosario Dawson,train|runaway train|train engineer|race against time|freight train,100000000,2010,6.8
Ryan Murphy,133140,Javier Bardem,80574010292010, Drama | Romance,Julia Roberts,Eat Pray Love,Richard Jenkins,emotional balance|indonesia|divorce|inner peace|female protagonist,60000000,2010,5.7
Lasse Hallström,108,Amanda Seyfried,80014842232010, Drama | Romance | War,Channing Tatum,Dear John,Richard Jenkins,u.s. army|army|coin collector|surfboard|autism,25000000,2010,6.3
Joe Carnahan,117133,Bradley Cooper,77213489102010, Action | Adventure | Comedy | Crime | Thriller,Liam Neeson,The A-Team,Sharlto Copley,prison|captain|cia agent|kissing|kissing in public,110000000,2010,6.8
James Mangold,109117,Cameron Diaz,7641865422010, Action | Comedy | Romance,Tom Cruise,Knight and Day,Peter Sarsgaard,chase|spy|garage|fbi|surveillance,117000000,2010,6.3
Jay Roach,114,Paul Rudd,7298010882010, Comedy,Steve Carell,Dinner for Schmucks,Stephanie Szostak,dinner|idiot|irs|diorama|mouse,,2010,5.9
Florian Henckel von Donnersmarck,103,Angelina Jolie,6763115742011, Action | Romance | Thriller,Johnny Depp,The Tourist,Paul Bettany,tailing a suspect|surveillance van|police surveillance|venice italy|tourist,100000000,2010,6.0
Andy Tennant,110,Gerard Butler,6706122822010, Action | Comedy | Romance,Jennifer Aniston,The Bounty Hunter,Gio Perez,reporter|bounty hunter|police officer|murder|death,40000000,2010,5.5
Thor Freudenthal,,Robert Capron,64001297132010, Comedy | Family,Zachary Gordon,Diary of a Wimpy Kid,Rachael Harris,diary|school|middle school|friend|cheese,15000000,2010,6.2
Jon Turteltaub,109,Jay Baruchel,63143812222010, Action | Adventure | Family | Fantasy,Nicolas Cage,The Sorcerer's Apprentice,Alfred Molina,training|spell|love|chosen one|enchanted object,150000000,2010,6.1
Samuel Bayer,95,Rooney Mara,6305965592010, Horror | Mystery | Thriller,Jackie Earle Haley,A Nightmare on Elm Street,Kyle Gallner,dream|nightmare|death|revenge|killing an animal,35000000,2010,5.2
Julie Anne Robinson,,Liam Hemsworth,6293379392010, Drama | Family | Music | Romance,Miley Cyrus,The Last Song,Greg Kinnear,summer|love|beach|pianist|fire,20000000,2010,5.8
Joe Johnston,103119,Anthony Hopkins,61937495262010, Drama | Fantasy | Horror | Thriller,Benicio Del Toro,The Wolfman,Emily Blunt,werewolf|asylum|full moon|death|transformation,150000000,2010,5.8
Nicholas Stoller,109114,Russell Brand,6092332562010, Comedy | Music,Jonah Hill,Get Him to the Greek,Elisabeth Moss,concert|record company|rock star|recession|drugs,,2010,6.4
Paul W.S. Anderson,97,Ali Larter,60128566292010, Action | Adventure | Horror | Sci-Fi,Milla Jovovich,Resident Evil: Afterlife,Wentworth Miller,siege|ship|alaska|female gunfighter|mutation,60000000,2010,5.9
Tyler Perry,,Tyler Perry,6007259642010, Comedy | Drama | Romance,Janet Jackson,Why Did I Get Married Too?,Jill Scott,six word title|question mark in title|returning character killed off|writer director|sequel,20000000,2010,4.4
Michael Lembeck,101,Ashley Judd,60013411112010, Comedy | Family | Fantasy,Dwayne Johnson,Tooth Fairy,Julie Andrews,tooth|fairy|tooth fairy|wings|hockey,48000000,2010,5.0
Randall Wallace,123,John Malkovich,5969951342011, Biography | Drama | Family | History | Sport,Diane Lane,Secretariat,Margo Martindale,triple crown|horse|horse racing|horseback riding|horse owner,35000000,2010,7.2
Will Gluck,92,Amanda Bynes,58401464172010, Comedy | Drama | Romance,Emma Stone,Easy A,Penn Badgley,high school|gay|school|student|friend,8000000,2010,7.1
John Luessenhop,107,Hayden Christensen,57744720122010, Action | Crime | Thriller,Chris Brown,Takers,Matt Dillon,falling out among thieves|bank|heist|armored car|planning,20000000,2010,6.2
Zack Snyder,97101,Hugo Weaving,55673333142011, Animation | Action | Adventure | Family | Fantasy,Jim Sturgess,Legend of the Guardians: The Owls of Ga'Hoole,David Wenham,owl|escape|soldier|ruler|barn owl,80000000,2010,7.0
James Wan,103,Rose Byrne,53991137262011, Horror | Mystery | Thriller,Patrick Wilson,Insidious,Ty Simpkins,boy|house|baby|coma|demon,1500000,2011,6.8
Greg Berlanti,,Josh Duhamel,53358964212011, Comedy | Drama | Romance,Katherine Heigl,Life as We Know It,Josh Lucas,best friend|bakery|godparent|1st birthday|birthday,38000000,2010,6.6
Gary Winick,,Gael García Bernal,53021560202010, Comedy | Drama | Romance,Amanda Seyfried,Letters to Juliet,Vanessa Redgrave,verona italy|italian stereotype|female protagonist|chick flick|man in a swimsuit,30000000,2010,6.5
Oliver Stone,133136,Michael Douglas,52474616172010, Drama,Shia LaBeouf,Wall Street: Money Never Sleeps,Carey Mulligan,mentor|corporate greed|greed|crisis|economy,70000000,2010,6.3
Nimród Antal,107,Laurence Fishburne,5200068882010, Action | Adventure | Sci-Fi | Thriller,Adrien Brody,Predators,Topher Grace,strong female character|woman punching a man|kicked in the face|martial arts|punched in the face,40000000,2010,6.4
Steve Pink,101,Rob Corddry,5021361942010, Comedy | Sci-Fi,John Cusack,Hot Tub Time Machine,Craig Robinson,ski resort|maintenance man|cheating wife|drug reference|male vomiting,36000000,2010,6.4
Matthew Vaughn,117,Nicolas Cage,48043505252010, Action | Comedy,Aaron Taylor-Johnson,Kick-Ass,Chloë Grace Moretz,comic book|reference to batman|female killer|narrated by character|hit in the crotch,30000000,2010,7.7
Robert Luketic,100,Ashton Kutcher,47000485132010, Action | Comedy | Romance | Thriller,Katherine Heigl,Killers,Tom Selleck,marriage|neighbor|store clerk|on the run|hired killer,75000000,2010,5.4
Kevin Greutert,90,Costas Mandylor,45670855262010, Horror | Mystery,Tobin Bell,Saw 3D: The Final Chapter,Betsy Russell,sequel|survivor|self help guru|support group|extreme violence,20000000,2010,5.6
Kevin Smith,107,Tracy Morgan,44867349142010, Action | Comedy | Crime,Bruce Willis,Cop Out,Juan Carlos Hernández,wedding|partner|baseball card|detective|thief,37000000,2010,5.6
Brad Peyton,,Chris O'Donnell,43575716152010, Action | Comedy | Family | Fantasy,Bette Midler,Cats & Dogs: The Revenge of Kitty Galore,Jack McBrayer,dog|cat|kitty|animal|warner bros,85000000,2010,4.3
Martin Campbell,117,Ray Winstone,4329097722010, Crime | Drama | Mystery | Thriller,Mel Gibson,Edge of Darkness,Danny Huston,activist|vigilantism|father daughter relationship|investigation|detective,80000000,2010,6.6
Rob Letterman,85,Emily Blunt,4277625982011, Adventure | Comedy | Family | Fantasy,Jack Black,Gulliver's Travels,Jason Segel,travel|travel writer|shipwrecked|bermuda triangle|box office hit,112000000,2010,4.9
Neil LaBute,92,Martin Lawrence,4273934722010, Comedy,Chris Rock,Death at a Funeral,Keith David,funeral|valium|eulogy|family secret|death,20000000,2010,5.6
Jon M. Chu,107,Rick Malambri,42385520292010, Drama | Music | Romance,Sharni Vinson,Step Up 3D,Adam G. Sevani,dance|dancer|new york city|dance crew|mortgage,30000000,2010,6.2
Daniel Stamm,87,Ashley Bell,4099005522010, Drama | Horror | Thriller,Patrick Fabian,The Last Exorcism,Iris Bahr,exorcism|documentary crew|cult film|found footage|satanic ritual,1800000,2010,5.6
Scott Stewart,100,Dennis Quaid,40168080192010, Action | Fantasy | Horror,Paul Bettany,Legion,Charles S. Dutton,angel|religious faith|diner|waitress|survival,26000000,2010,5.2
Steve Antin,119,Christina Aguilera,3944065542011, Drama | Music | Musical | Romance,Cher,Burlesque,Alan Cumming,small town girl|dancer|burlesque|iowa|stage,55000000,2010,6.4
Breck Eisner,101,Timothy Olyphant,39103378142010, Horror | Thriller,Radha Mitchell,The Crazies,Danielle Panabaker,rural setting|sheriff|deputy|survival|self sacrifice,20000000,2010,6.5
Tyler Perry,,Anika Noni Rose,37721949142011, Drama,Janet Jackson,For Colored Girls,Whoopi Goldberg,poem|african american protagonist|three word title|multi protagonist|female protagonist,,2010,6.0
Alan Poul,104,Alex O'Loughlin,37481242162010, Comedy | Romance,Jennifer Lopez,The Back-up Plan,Michaela Watkins,chick flick|baby|artificial insemination|twins|cheese,35000000,2010,5.3
Jason Friedberg,82,Matt Lanter,3665810852010, Comedy,Jenn Proske,Vampires Suck,Diedrich Bader,friend|cat|teenager|love|sheriff,20000000,2010,3.5
Anton Corbijn,105,Paolo Bonacelli,35596227292010, Crime | Drama | Thriller,George Clooney,The American,Violante Placido,priest|assassin|ambush|sweden|prostitute,20000000,2010,6.3
Paul Greengrass,115,Jason Isaacs,35024475302010, Action | Drama | Thriller | War,Matt Damon,Green Zone,Greg Kinnear,cia|political military conspiracy|weapon of mass destruction|iraqi|iraq,100000000,2010,6.9
Tom Dey,,Judy Greer,33643461102010, Comedy | Family,Owen Wilson,Marmaduke,Lee Pace,great dane|dog|rivalry|talking cat|talking animal,50000000,2010,4.2
John Erick Dowdle,80,Caroline Dhavernas,33583175122010, Horror | Mystery | Thriller,Chris Messina,Devil,Bokeem Woodbine,devil|throat slitting|elevator|trapped in an elevator|hit and run,10000000,2010,6.3
Clint Eastwood,129,Cécile De France,3274159672011, Drama | Fantasy,Matt Damon,Hereafter,Bryce Dallas Howard,near death experience|twin|death|tsunami|twin brother,50000000,2010,6.5
Mark Steven Johnson,91,Josh Duhamel,3266955592010, Comedy | Romance,Kristen Bell,When in Rome,Anjelica Huston,coin|fountain|fountain of love|spell|wedding,55000000,2010,5.5
Edward Zwick,112,Anne Hathaway,32357532112011, Comedy | Drama | Romance,Jake Gyllenhaal,Love & Other Drugs,Judy Greer,viagra|pfizer|zoloft|male objectification|medical representative,30000000,2010,6.7
Jim Field Smith,,Alice Eve,31584722142010, Comedy | Romance,Jay Baruchel,She's Out of My League,T.J. Miller,airport|blonde|iphone|confidence|airport security,20000000,2010,6.4
Edgar Wright,112,Mary Elizabeth Winstead,3149427022010, Action | Comedy | Fantasy | Romance,Michael Cera,Scott Pilgrim vs. the World,Kieran Culkin,band|dating|high school|hipster|rock band,60000000,2010,7.5
John Madden,113,Sam Worthington,31146570282011, Drama | Thriller,Helen Mirren,The Debt,Tom Wilkinson,east berlin|nazi|mossad|nazi war criminal|kiev ukraine,20000000,2011,6.9
Burr Steers,,Kim Basinger,31136950102010, Drama | Fantasy | Romance,Zac Efron,Charlie St. Cloud,Charlie Tahan,ghost|seeing dead people|talking with the dead|death of brother|brother brother relationship,44000000,2010,6.5
Roger Michell,,Harrison Ford,30993544142011, Comedy | Drama | Romance,Rachel McAdams,Morning Glory,Diane Keaton,television|roller coaster|slow motion action scene|slow motion sequence|job offer,40000000,2010,6.5
James L. Brooks,,Paul Rudd,30212620212011, Comedy | Drama | Romance,Reese Witherspoon,How Do You Know,Owen Wilson,box office flop|love|love triangle|embarrassment|revelation,120000000,2010,5.4
Susanna White,109,Maggie Gyllenhaal,28995450222010, Comedy | Family | Fantasy,Emma Thompson,Nanny McPhee Returns,Ralph Fiennes,nanny|magic|farm|box office hit|flying pig,35000000,2010,6.1
Josh Gordon,,Jason Bateman,27758465122010, Comedy | Drama | Romance,Jennifer Aniston,The Switch,Patrick Wilson,sperm|sperm donor|best friend|artificial insemination|new york city,19000000,2010,6.1
Ethan Maniquis,105,Michelle Rodriguez,26589953122010, Action | Crime | Thriller,Danny Trejo,Machete,Robert De Niro,mexican|machete|texas|mexico|priest,10500000,2010,6.7
Elizabeth Allen Rosenbaum,,Selena Gomez,2616140652010, Adventure | Comedy | Family | Fantasy,Joey King,Ramona and Beezus,Bridget Moynahan,cat|death of pet|aunt|girl|tween girl,15000000,2010,6.7
Andy Fickman,,Odette Annable,25677801102010, Comedy | Family | Romance,Kristen Bell,You Again,Sigourney Weaver,dog|flight|travel|hostility|dancing,20000000,2010,5.8
Anthony Bell,90,Christina Ricci,25077977262010, Animation | Adventure | Comedy | Family | Romance,Hayden Panettiere,Alpha and Omega,Justin Long,park|idaho|geese|national park|arranged marriage,20000000,2010,5.3
Alexandre Aja,88,Jerry O'Connell,25003072122010, Comedy | Horror | Thriller,Elisabeth Shue,Piranha 3D,Richard Dreyfuss,piranha|boat|party|spring break|bloody water,24000000,2010,5.5
