director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Andrew Adamson,93,Eddie Murphy,436471036202004, Animation | Adventure | Comedy | Family | Fantasy | Romance,Mike Myers,Shrek 2,Cameron Diaz,queen|physical appearance|drag queen|sequel|king,150000000,2004,7.2
Sam Raimi,127135,Kirsten Dunst,373377893122004, Action | Adventure | Fantasy,Tobey Maguire,Spider-Man 2,Alfred Molina,tentacle|scientist|doctor|death|super villain,200000000,2004,7.3
Mel Gibson,127120,Monica Bellucci,370782930252005, Drama,Jim Caviezel,The Passion of the Christ,Maia Morgenstern,suffering|torture|graphic violence|brutality|cult film,30000000,2004,7.1
Jay Roach,115106,Robert De Niro,279167575292005, Comedy | Romance,Ben Stiller,Meet the Fockers,Blythe Danner,male nurse|nurse|latex gloves|father in law son in law relationship|defecation,80000000,2004,6.3
Brad Bird,115,Samuel L. Jackson,26143757882005, Animation | Action | Adventure | Family,Craig T. Nelson,The Incredibles,Holly Hunter,secret|lawsuit|island|superhero|hero,92000000,2004,8.0
Alfonso Cuarón,142,Emma Watson,249358727292004, Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban,Rupert Grint,magic|wizard|muggle|serial killer|traitor,130000000,2004,7.8
Roland Emmerich,124,Jake Gyllenhaal,186739919292004, Action | Adventure | Sci-Fi | Thriller,Dennis Quaid,The Day After Tomorrow,Emmy Rossum,new york|global warming|natural disaster|climate|climate crisis,125000000,2004,6.4
Paul Greengrass,108,Franka Potente,176049130262004, Action | Mystery | Thriller,Matt Damon,The Bourne Supremacy,Joan Allen,hidden truth|suspense|secret past|dark past|amnesia,75000000,2004,7.8
Jon Turteltaub,131,Diane Kruger,173005002272005, Action | Adventure | Family | Mystery | Thriller,Nicolas Cage,National Treasure,Justin Bartha,treasure|declaration of independence|treasure hunter|treasure hunt|secret society,100000000,2004,6.9
Bibo Bergeron,90,Robert De Niro,160762022312004, Animation | Adventure | Comedy | Family,Will Smith,Shark Tale,Renée Zellweger,fish|shark|anchor|vegetarian|mobster,75000000,2004,6.0
Alex Proyas,115,Bridget Moynahan,144795350242004, Action | Mystery | Sci-Fi | Thriller,Will Smith,"I, Robot",Bruce Greenwood,humanoid robot|prosthetic limb|man versus machine|robot vs. robot|robot as pathos,120000000,2004,7.1
Wolfgang Petersen,163196,Eric Bana,133228348132004, Adventure,Brad Pitt,Troy,Orlando Bloom,mythology|troy|trojan|greek|prince,175000000,2004,7.2
Steven Soderbergh,125,Brad Pitt,125531634182005, Crime | Thriller,George Clooney,Ocean's Twelve,Julia Roberts,heist|sequel|pretending to be pregnant|father daughter relationship|thief,110000000,2004,6.4
Peter Segal,99,Drew Barrymore,120776832182004, Comedy | Romance,Adam Sandler,50 First Dates,Rob Schneider,short term memory loss|dream|hawaii|veterinarian|hawaiian shirt,75000000,2004,6.8
Stephen Sommers,131,Kate Beckinsale,120025245302004, Action | Adventure,Hugh Jackman,Van Helsing,Richard Roxburgh,van helsing|dracula|vampire|frankenstein|creature,160000000,2004,6.0
Brad Silberling,108,Jude Law,118627117222005, Adventure | Comedy | Family | Fantasy,Jim Carrey,A Series of Unfortunate Events,Meryl Streep,children|uncle niece relationship|count|custody|fire,140000000,2004,6.8
Rawson Marshall Thurber,92,Christine Taylor,114324072292004, Comedy | Sport,Ben Stiller,Dodgeball: A True Underdog Story,Vince Vaughn,gym|dodgeball|las vegas|ups|pirate,20000000,2004,6.7
M. Night Shyamalan,108,William Hurt,114195633262004, Drama | Mystery | Thriller,Sigourney Weaver,The Village,Joaquin Phoenix,plot twist|village|woods|pact|creature,60000000,2004,6.5
Takashi Shimizu,919898,Jason Behr,110175871172004, Horror | Mystery | Thriller,Sarah Michelle Gellar,The Grudge,Clea DuVall,curse|american|nurse|rage|japan,10000000,2004,5.9
