director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,imdb_score
Francis Lawrence,146,Josh Hutcherson,424645577282014, Action | Adventure | Mystery | Sci-Fi | Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire,Liam Hemsworth,1,snow|president|uprising|tour|television,130000000,2013,7.6
Shane Black,130195,Guy Pearce,40899227262013, Action | Adventure | Sci-Fi,Robert Downey Jr.,Iron Man Three,Gwyneth Paltrow,0,terrorist|explosion|billionaire|missile attack|human bomb,200000000,2013,7.2
Chris Buck,102,Idina Menzel,400736600112014, Animation | Adventure | Comedy | Family | Fantasy | Musical,Kristen Bell,Frozen,Jonathan Groff,0,snowman|sister sister relationship|magic|female protagonist|sister love,150000000,2013,7.6
Pierre Coffin,98,Kristen Wiig,368049635102014, Animation | Adventure | Comedy | Family | Sci-Fi,Steve Carell,Despicable Me 2,Benjamin Bratt,0,minion|woman agent|overprotective father|dating|undercover spy,76000000,2013,7.5
Zack Snyder,143,Amy Adams,291021565132013, Action | Adventure | Fantasy | Sci-Fi,Henry Cavill,Man of Steel,Michael Shannon,0,reboot|british actor playing american character|origin of hero|based on comic book|final battle,225000000,2013,7.1
Alfonso Cuarón,91,George Clooney,27408495122014, Adventure | Drama | Sci-Fi | Thriller,Sandra Bullock,Gravity,Ed Harris,0,space station|female protagonist|space|sole survivor|long take,100000000,2013,7.8
Dan Scanlon,104,John Goodman,268488329132013, Animation | Adventure | Comedy | Family | Fantasy,Billy Crystal,Monsters University,Steve Buscemi,0,monster|university|fraternity|cheating|singing in a car,200000000,2013,7.3
Peter Jackson,161186,Martin Freeman,258355354112014, Adventure | Fantasy,Ian McKellen,The Hobbit: The Desolation of Smaug,Richard Armitage,0,sword and sorcery|elf|dwarf|mountain|lake town,225000000,2013,7.9
Justin Lin,130,Paul Walker,238673370302013, Action | Crime | Thriller,Vin Diesel,Furious 6,Dwayne Johnson,0,criminal|mercenary|spain|reference to robin hood|tunnel chase scene,160000000,2013,7.1
Sam Raimi,130,Michelle Williams,234903076122013, Adventure | Family | Fantasy,James Franco,Oz the Great and Powerful,Rachel Weisz,0,oz|witch|magician|circus|magic,215000000,2013,6.4
J.J. Abrams,132,Zachary Quinto,22875623262013, Action | Adventure | Sci-Fi,Chris Pine,Star Trek Into Darkness,Zoe Saldana,0,threesome|mission|captain|space|manhunt,190000000,2013,7.8
Alan Taylor,112,Natalie Portman,206360018112014, Action | Adventure | Fantasy | Sci-Fi,Chris Hemsworth,Thor: The Dark World,Tom Hiddleston,0,thor|warrior|weapon|portal|arrest,170000000,2013,7.1
Marc Forster,116123,Mireille Enos,20235161142013, Action | Adventure | Horror | Sci-Fi | Thriller,Brad Pitt,World War Z,Daniella Kertesz,0,zombie|chaos|pandemic|infection|disease,190000000,2013,7.0
Kirk De Micco,98,Ryan Reynolds,187165546132013, Animation | Adventure | Comedy | Family | Fantasy | History,Nicolas Cage,The Croods,Emma Stone,0,cave|caveman|survival|journey|strict father,135000000,2013,7.3
Paul Feig,117123,Michael McDonald,15957835262013, Action | Comedy | Crime,Sandra Bullock,The Heat,Melissa McCarthy,0,shot in the crotch|fbi|drug lord|fbi agent|hospital,43000000,2013,6.6
Rawson Marshall Thurber,110118,Jennifer Aniston,150368971292013, Comedy | Crime,Jason Sudeikis,We're the Millers,Emma Roberts,0,male frontal nudity|mexico|stripper|marijuana|fake family,37000000,2013,7.0
David O. Russell,138,Amy Adams,15011780742014, Crime | Drama | History,Christian Bale,American Hustle,Bradley Cooper,0,based on true story|scam|con artist|drunk wife|fbi investigation,40000000,2013,7.3
Baz Luhrmann,143,Carey Mulligan,144812796162013, Drama | Romance,Leonardo DiCaprio,The Great Gatsby,Joel Edgerton,0,tragedy|party|mansion|ingratitude|title appears in writing,105000000,2013,7.3
James Wan,112,Vera Farmiga,137387272252013, Horror | Mystery | Thriller,Patrick Wilson,The Conjuring,Ron Livingston,0,supernatural power|ghost|hole in a wall|dead bird|filicide,20000000,2013,7.5
Seth Gordon,111121120,Melissa McCarthy,134455175312013, Comedy | Crime,Jason Bateman,Identity Thief,John Cho,2,identity|credit card|police|cross country|bounty hunter,35000000,2013,5.7
Dennis Dugan,101,Kevin James,133668525152013, Comedy,Adam Sandler,Grown Ups 2,Chris Rock,4,reference to nicki minaj|sneezing|belching|number in title|party,80000000,2013,5.4
James Mangold,126138,Will Yun Lee,132550960292013, Action | Adventure | Sci-Fi | Thriller,Hugh Jackman,The Wolverine,Tao Okamoto,0,regeneration|self healing|healing power|marvel comics|mecha,120000000,2013,6.7
Peter Berg,121,Taylor Kitsch,12506969642014, Action | Biography | Drama | History | Thriller | War,Mark Wahlberg,Lone Survivor,Emile Hirsch,0,navy seal|outnumbered|shot multiple times|courage|survival,40000000,2014,7.6
Jon M. Chu,110122,Channing Tatum,122512052122013, Action | Adventure | Sci-Fi | Thriller,Dwayne Johnson,G.I. Joe: Retaliation,Adrianne Palicki,1,gi joe|ninja|martial arts|president|general,130000000,2013,5.8
Cody Cameron,95,Anna Faris,119793567142014, Animation | Adventure | Comedy | Family | Fantasy | Sci-Fi,Bill Hader,Cloudy with a Chance of Meatballs 2,Will Forte,0,food|inventor|island|orangutan|scientist,78000000,2013,6.5
Louis Leterrier,115125,Common,117698894202013, Crime | Mystery | Thriller,Jesse Eisenberg,Now You See Me,Mark Ruffalo,0,magician|heist|bank|fbi|interpol,75000000,2013,7.3
Martin Scorsese,180145240,Jonah Hill,116866727282014, Biography | Comedy | Crime | Drama,Leonardo DiCaprio,The Wolf of Wall Street,Margot Robbie,0,stockbroker|sex in an airplane|female rear nudity|fellatio|based on true story,100000000,2013,8.2
Lee Daniels,132,Oprah Winfrey,11663131072014, Biography | Drama,Forest Whitaker,The Butler,John Cusack,0,president|white house|butler|hotel|civil rights,30000000,2013,7.2
Todd Phillips,100,Zach Galifianakis,11218662592013, Comedy | Crime,Bradley Cooper,The Hangover Part III,Ed Helms,1,gold|prison|friend|intervention|funeral,103000000,2013,5.9
Chris Wedge,102,Josh Hutcherson,107515297132013, Animation | Adventure | Family | Fantasy,Amanda Seyfried,Epic,Beyoncé Knowles,0,miniature person|father daughter relationship|forest|sword and fantasy|shrinking,100000000,2013,6.7
Paul Greengrass,134,Barkhad Abdi,107100855282014, Biography | Drama | Thriller,Tom Hanks,Captain Phillips,Barkhad Abdirahman,0,ship|hostage|lifeboat|somalian pirate|leader,55000000,2013,7.9
Jeff Tremaine,92102,Jackson Nicoll,101978840172014, Comedy,Johnny Knoxville,Bad Grandpa,Greg Harris,0,grandson|jackass|road trip|child beauty pageant|hidden camera,15000000,2013,6.6
Guillermo del Toro,131,Charlie Hunnam,101785482112013, Action | Adventure | Sci-Fi,Idris Elba,Pacific Rim,Rinko Kikuchi,0,kaiju|pilot|portal|robot|giant monster,190000000,2013,7.0
Evan Goldberg,107,Jonah Hill,10147020242013, Comedy | Fantasy,James Franco,This Is the End,Seth Rogen,3,party|apocalypse|ensemble cast|rapture|celebrity,32000000,2013,6.7
Antoine Fuqua,119,Aaron Eckhart,9889541752013, Action | Thriller,Gerard Butler,Olympus Has Fallen,Morgan Freeman,2,u.s. president|president|speaker of the house|politics|political thriller,70000000,2013,6.5
Brian Helgeland,128,T.R. Knight,95001343192013, Biography | Drama | Sport,Chadwick Boseman,42,Harrison Ford,0,baseball|racism|major league baseball|baseball player|brooklyn dodgers,40000000,2013,7.5
Neill Blomkamp,109,Jodie Foster,93050117222013, Action | Drama | Sci-Fi | Thriller,Matt Damon,Elysium,Sharlto Copley,1,messiah|saviour|christ figure|social commentary|class differences,115000000,2013,6.6
Klay Hall,91,Dane Cook,90282580132013, Animation | Adventure | Comedy | Family,Carlos Alazraqui,Planes,Stacy Keach,0,plane|underdog|around the world|air race|veteran,50000000,2013,5.8
