director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,imdb_score
Gore Verbinski,150,Armie Hammer,8928991042013, Action | Adventure | Western,Johnny Depp,The Lone Ranger,William Fichtner,0,horse|box office flop|outlaw|train|texas,215000000,2013,6.5
Joseph Kosinski,124,Morgan Freeman,89021735212013, Action | Adventure | Mystery | Sci-Fi,Tom Cruise,Oblivion,Andrea Riseborough,0,cabin in the woods|post apocalypse|drone|sex in a pool|flying through a thunderstorm,120000000,2013,7.0
James Wan,106,Rose Byrne,83574831132013, Horror | Thriller,Patrick Wilson,Insidious: Chapter 2,Barbara Hershey,0,supernatural|police detective|barricading a door|injection in leg|taser,5000000,2013,6.6
John Lee Hancock,125,Tom Hanks,83299761112014, Biography | Comedy | Drama | History | Music,Emma Thompson,Saving Mr. Banks,Annie Rose Buckley,0,disney|author|loss of father|reference to walt disney|suppression of emotion,35000000,2013,7.5
David Soren,96,Paul Giamatti,8302490062013, Animation | Adventure | Comedy | Family | Sci-Fi | Sport,Ryan Reynolds,Turbo,Maya Rudolph,0,snail|race|garden|accident|speed,135000000,2013,6.5
Baltasar Kormákur,109,Mark Wahlberg,75573300182013, Action | Comedy | Crime | Drama | Thriller,Denzel Washington,2 Guns,Paula Patton,0,female nudity|close up of breasts|money|boss|border,61000000,2013,6.7
Roland Emmerich,131,Jamie Foxx,73103784132013, Action | Drama | Thriller,Channing Tatum,White House Down,Maggie Gyllenhaal,0,black u.s. president|president|white house|secret service|tour,150000000,2013,6.4
Andrés Muschietti,100,Nikolaj Coster-Waldau,71588220292013, Horror | Thriller,Jessica Chastain,Mama,Megan Charpentier,0,children|aunt|forest|hiding in a closet|death of sister,20000000,2013,6.2
Lasse Hallström,115,Josh Duhamel,71346930242013, Drama | Romance | Thriller,Julianne Hough,Safe Haven,Cobie Smulders,0,chick flick|abusive husband|secret|north carolina|widower,28000000,2013,6.7
Raja Gosnell,105,Jayma Mays,71017784152013, Animation | Adventure | Comedy | Family | Fantasy,Neil Patrick Harris,The Smurfs 2,Katy Perry,0,sequel|based on cartoon|smurf|no opening credits|box office hit,105000000,2013,5.4
Malcolm D. Lee,123,Morris Chestnut,7049268532014, Comedy | Drama,Monica Calhoun,The Best Man Holiday,Melissa De Sousa,0,christmas|gay slur|infidelity|childbirth|punched in the nose,17000000,2013,6.7
Thor Freudenthal,106,Alexandra Daddario,68558662242014, Adventure | Family | Fantasy,Logan Lerman,Percy Jackson: Sea of Monsters,Brandon T. Jackson,0,sea|golden fleece|tree|magical tree|half brother,90000000,2013,5.9
John Moore,98101,Jai Courtney,67344392172013, Action | Thriller,Bruce Willis,A Good Day to Die Hard,Sebastian Koch,1,russian|courthouse|cia|escape|bomb,92000000,2013,5.3
Jonathan Levine,98,Teresa Palmer,6635995932013, Comedy | Horror | Romance,Nicholas Hoult,Warm Bodies,John Malkovich,0,zombie|undead|teenager|memory|fight,35000000,2013,6.9
Bryan Singer,114,Stanley Tucci,6517186072013, Adventure | Fantasy,Nicholas Hoult,Jack the Giant Slayer,Ewan McGregor,0,no opening credits|giant|princess|bean|king,195000000,2013,6.3
James DeMonaco,85,Lena Headey,6442365022013, Horror | Sci-Fi | Thriller,Ethan Hawke,The Purge,Max Burkholder,0,violence|one night|killing spree|class differences|knife,3000000,2013,5.7
Jon Turteltaub,105,Michael Douglas,63910583142014, Comedy,Robert De Niro,Last Vegas,Morgan Freeman,0,vegas|bachelor party|bloody mary the drink|brooklyn new york city|bouncer,28000000,2013,6.6
Gavin Hood,114,Asa Butterfield,6165684932014, Action | Sci-Fi,Harrison Ford,Ender's Game,Hailee Steinfeld,0,alien|future|simulation|training|manipulation,110000000,2013,6.7
Denis Villeneuve,153,Jake Gyllenhaal,60962878292013, Crime | Drama | Mystery | Thriller,Hugh Jackman,Prisoners,Viola Davis,0,child abduction|sex offender|detective|police|investigation,46000000,2013,8.1
M. Night Shyamalan,100,David Denman,60522097162013, Action | Adventure | Sci-Fi,Jaden Smith,After Earth,Will Smith,0,real life father and son playing father and son|box office flop|fear|father son team|race against time,130000000,2013,4.9
Ben Stiller,114,Kristen Wiig,5822912042014, Adventure | Comedy | Drama | Fantasy | Romance,Ben Stiller,The Secret Life of Walter Mitty,Jon Daly,0,life magazine|magazine|photographer|daydream|snow leopard,90000000,2013,7.3
Cal Brunker,,Sarah Jessica Parker,57011847192013, Animation | Adventure | Comedy | Family | Sci-Fi,Brendan Fraser,Escape from Planet Earth,Jessica Alba,0,alien|mission control|rescue|cgi animation|product placement,40000000,2013,6.0
Steve McQueen,134,Michael Kenneth Williams,5666787022014, Biography | Drama | History,Chiwetel Ejiofor,12 Years a Slave,Michael Fassbender,0,whipping|separation from family|torture|social injustice|racism,20000000,2013,8.1
Jimmy Hayward,91,Owen Wilson,55747724142014, Animation | Adventure | Comedy | Family,Woody Harrelson,Free Birds,Dan Fogler,0,thanksgiving|cgi animation|turkey the bird|hunting dog|sabotage,55000000,2013,5.9
Tommy Wirkola,8898,Gemma Arterton,55682070192013, Action | Fantasy | Horror,Jeremy Renner,Hansel & Gretel: Witch Hunters,Peter Stormare,0,hansel and gretel|bounty hunter|death of loved one|brother sister team|supernatural power,50000000,2013,6.1
Fede Alvarez,9196,Shiloh Fernandez,5423985672013, Horror,Jane Levy,Evil Dead,Jessica Lucas,0,demon|lesbian kiss|book of the dead|promise|violence,17000000,2013,6.5
Dean Parisot,116,Helen Mirren,53215979112013, Action | Comedy | Crime | Thriller,Bruce Willis,RED 2,John Malkovich,0,russian|cia agent|cia|team|rescue,84000000,2013,6.7
Tyler Perry,100,Chad Michael Murray,5252833072014, Comedy | Drama,Tyler Perry,A Madea Christmas,Tika Sumpter,0,christmas|holiday|rural setting|madea series|stubbornness,25000000,2013,4.7
Tyler Perry,111,Vanessa Williams,51954524242013, Drama | Thriller,Jurnee Smollett-Bell,Temptation: Confessions of a Marriage Counselor,Brandy Norwood,0,temptation|traditional marriage|praying|prayer|dysfunctional marriage,,2013,4.9
Brad Anderson,,Evie Thompson,5187237872013, Crime | Thriller,Halle Berry,The Call,Abigail Breslin,0,911 operator|head held underwater|white villain|die hard scenario|calling 911,13000000,2013,6.7
Michael Bay,129,Dwayne Johnson,49874933232013, Comedy | Crime | Drama,Mark Wahlberg,Pain & Gain,Anthony Mackie,0,bodybuilder|reference to julia roberts|punch into the camera|money|american dream,26000000,2013,6.5
Ruben Fleischer,113,Ryan Gosling,45996718292013, Action | Crime | Drama | Thriller,Sean Penn,Gangster Squad,Emma Stone,0,good versus evil|machine gun|police vigilantism|year 1949|mobster,60000000,2013,6.7
Shawn Levy,119125,Owen Wilson,4466596362013, Comedy,Vince Vaughn,The Internship,Rose Byrne,0,google|internship|tequila|bourbon|animated credits,58000000,2013,6.3
Eugenio Derbez,115,Karla Souza,4445650962013, Comedy | Drama,Eugenio Derbez,Instructions Not Included,Jessica Lindsey,0,father daughter relationship,5000000,2013,7.6
Ric Roman Waugh,112,Susan Sarandon,42919096242013, Action | Drama | Thriller,Dwayne Johnson,Snitch,Jon Bernthal,1,cigarette smoking|undercover|dea|drugs|set up,15000000,2013,6.5
David Twohy,119127,Karl Urban,41997790252013, Action | Sci-Fi | Thriller,Vin Diesel,Riddick,Katee Sackhoff,0,left for dead|mercenary|alien|survival|vomiting,38000000,2013,6.4
Michael Tiddes,86,Essence Atkins,4004168312013, Comedy | Fantasy,Marlon Wayans,A Haunted House,Marlene Forte,1,parody|psychic|priest|woman in a bikini|hamburger,2500000,2013,5.1
Carl Rinsch,119128,Hiroyuki Sanada,38297305312014, Action | Adventure | Drama | Fantasy,Keanu Reeves,47 Ronin,Ko Shibasaki,0,shogun|samurai|ronin|half breed|revenge,175000000,2013,6.3
John Wells,121,Dermot Mulroney,3773840022014, Drama,Meryl Streep,August: Osage County,Julia Roberts,0,pedophilia|incestuous relationship|based on play|secret|teenage daughter,25000000,2014,7.3
Stephen Frears,98,Steve Coogan,37707719162014, Biography | Drama,Judi Dench,Philomena,Sophie Kennedy Clark,1,convent|catholic|gay love|irish adoption board|gay relationship,12000000,2013,7.6
Luc Besson,111,Michelle Pfeiffer,3691773032014, Comedy | Crime | Thriller,Robert De Niro,The Family,Dianna Agron,0,girl beating up a boy|german shepherd|mafia|witness protection|normandy,30000000,2013,6.3
Barry Cook,87,Karl Urban,3607323242014, Animation | Adventure | Family,Charlie Rowe,Walking with Dinosaurs 3D,Angourie Rice,0,dinosaur|hero|orphan|brother|head butt,80000000,2013,5.2
Kimberly Peirce,100,Julianne Moore,35266619222013, Drama | Horror,Chloë Grace Moretz,Carrie,Gabriella Wilde,0,telekinesis|self injury|prom|outcast|tragic event,30000000,2013,5.9
John Luessenhop,92,Tania Raymonde,34334256222013, Horror | Thriller,Alexandra Daddario,Texas Chainsaw 3D,Scott Eastwood,0,chainsaw|halloween|texas|mansion|massacre,20000000,2013,4.8
Robert Schwentke,,Jeff Bridges,33592415202013, Action | Comedy | Fantasy,Ryan Reynolds,R.I.P.D.,Mary-Louise Parker,0,box office flop|based on comic book|partner|police|undead,130000000,2013,5.6
Woody Allen,98,Alec Baldwin,33404871282014, Drama,Cate Blanchett,Blue Jasmine,Peter Sarsgaard,1,self deception|snob|congenital liar|talking to oneself|mental breakdown,18000000,2013,7.3
Steven Soderbergh,106,Channing Tatum,32154410102013, Crime | Drama | Thriller,Rooney Mara,Side Effects,Jude Law,2,clinical trial|psychiatrist|side effect|neuropharmacology|female protagonist,30000000,2013,7.1
Malcolm D. Lee,88,Ashley Tisdale,32014289192013, Comedy,Simon Rex,Scary Movie 5,Charlie Sheen,0,ape|ballet|psychic|supernatural|2010s,20000000,2013,3.5
Harald Zwart,130,Jamie Campbell Bower,3116542142013, Fantasy | Horror | Mystery | Romance,Lily Collins,The Mortal Instruments: City of Bones,Robert Sheehan,1,magic|demon|warrior|secret|battle,60000000,2013,6.0
Ken Scott,105,Chris Pratt,30659817142014, Comedy | Drama,Vince Vaughn,Delivery Man,Cobie Smulders,0,lawyer|children|identity|lawsuit|sperm donor,26000000,2013,6.4
Peter Segal,113,Sylvester Stallone,2980276172014, Comedy | Sport,Robert De Niro,Grudge Match,Kim Basinger,1,trainer|retirement|promoter|training|broke,40000000,2013,6.4
Jeff Wadlow,103,Chloë Grace Moretz,28751715202013, Action | Comedy | Crime,Aaron Taylor-Johnson,Kick-Ass 2,Christopher Mintz-Plasse,0,kicked in the crotch|punched in the crotch|hit in the crotch|superhero|sparring,28000000,2013,6.6
Mike Flanagan,104,Brenton Thwaites,27689474202014, Horror | Mystery,Karen Gillan,Oculus,Katee Sackhoff,1,mirror|trauma|video camera|released from a mental hospital|home office,5000000,2014,6.5
Jean-Marc Vallée,117,Jennifer Garner,27296514252014, Biography | Drama,Matthew McConaughey,Dallas Buyers Club,Jared Leto,0,hiv|gay community|homophobia|drugs|fda,5000000,2013,8.0
Ron Howard,123,Chris Hemsworth,26903709152013, Action | Biography | Drama | Sport,Daniel Brühl,Rush,Olivia Wilde,0,formula 1|rivalry|female rear nudity|1970s|sex with a nurse,38000000,2013,8.1
Andrew Niccol,125,Max Irons,26616999242013, Action | Adventure | Romance | Sci-Fi | Thriller,Saoirse Ronan,The Host,Jake Abel,1,alien|alien creature|parasite|body snatching|desert,40000000,2013,5.9
Edgar Wright,109,Nick Frost,26003149292013, Action | Comedy | Sci-Fi,Simon Pegg,The World's End,Martin Freeman,0,paranoia|twin actresses for twin sisters|doppelganger|group therapy|alcoholic,20000000,2013,7.0
Jon Lucas,93,Justin Chon,25675765102013, Comedy,Miles Teller,21 & Over,Jonathan Keltz,0,pubic hair|21st birthday|college student|standing up to father|drunken man,13000000,2013,5.9
Spike Jonze,126,Amy Adams,25556065112014, Drama | Romance | Sci-Fi,Joaquin Phoenix,Her,Scarlett Johansson,1,loneliness|future|female frontal nudity|operating system|divorce,23000000,2014,8.0
Mikael Håfström,115,Arnold Schwarzenegger,25121291102014, Action | Crime | Mystery | Sci-Fi | Thriller,Sylvester Stallone,Escape Plan,50 Cent,0,prison|muslim|escape|ship|cia agent,50000000,2013,6.7
Joseph Gordon-Levitt,90,Scarlett Johansson,2447519332014, Comedy | Drama | Romance,Joseph Gordon-Levitt,Don Jon,Julianne Moore,1,nightclub|church|sex|new jersey|watching porn,3000000,2013,6.6
Don Scardino,100,Luke Vanek,2252592132013, Comedy,Steve Carell,The Incredible Burt Wonderstone,Steve Buscemi,2,magician|vegas|magic|magic kit|stage magician,30000000,2013,5.9
Justin Zackham,,Diane Keaton,21784432282013, Comedy,Robert De Niro,The Big Wedding,Katherine Heigl,0,wedding|divorce|family relationships|farce|adoption,35000000,2013,5.6
David E. Talbert,96,Taye Diggs,21564616132013, Comedy,Paula Patton,Baggage Claim,Jill Scott,0,woman wearing only a man's shirt,8500000,2013,5.0
Nat Faxon,103,Toni Collette,21501098152013, Comedy | Drama,Steve Carell,The Way Way Back,Allison Janney,0,summer|water park|shy kid|unlikely friendship|friendship,5000000,2013,7.4
Brian Percival,131,Geoffrey Rush,2148315442014, Drama | War,Sophie Nélisse,The Book Thief,Emily Watson,0,book|basement|girl|library|hiding,19000000,2013,7.6
Gary Fleder,100,James Franco,19783777202013, Action | Crime | Drama | Thriller,Jason Statham,Homefront,Winona Ryder,2,dea|biker gang|biker|dea agent|fight,22000000,2013,6.5
Allen Hughes,109,Russell Crowe,19692608292013, Crime | Drama | Thriller,Mark Wahlberg,Broken City,Catherine Zeta-Jones,1,father son relationship|gay slur|fellatio|title spoken by character|election,35000000,2013,6.2
Richard LaGravenese,124,Viola Davis,1944521752013, Drama | Fantasy | Romance,Alice Englert,Beautiful Creatures,Emma Thompson,0,dream|small town|magic spell|magic|escape,60000000,2013,6.2
Brad Furman,88,Justin Timberlake,1931664662013, Crime | Thriller,Ben Affleck,Runner Runner,Gemma Arterton,3,costa rica|gambling|money|online gambling|fbi agent,30000000,2013,5.6
Paul Weitz,,Paul Rudd,18004225312013, Comedy | Drama | Romance,Tina Fey,Admission,Nat Wolff,2,adoption|princeton university|working women|female protagonist|wedding,13000000,2013,5.7
Alexander Payne,115,Will Forte,17613460142014, Adventure | Comedy | Drama,Bruce Dern,Nebraska,June Squibb,0,nebraska|billings montana|lincoln nebraska|aging|pickup truck,12000000,2014,7.7
Taylor Hackford,118,Jennifer Lopez,17609982292013, Action | Crime | Romance | Thriller,Jason Statham,Parker,Michael Chiklis,1,action hero|thief|real estate agent|disguise|hospital,35000000,2013,6.2
Nicole Holofcener,93,James Gandolfini,17536788102014, Comedy | Drama | Romance,Julia Louis-Dreyfus,Enough Said,Catherine Keener,1,ex wife|dating|divorcee|party|ex husband,8000000,2013,7.1
Scott Stewart,97,Jake Brennan,17411930172013, Horror | Sci-Fi | Thriller,Keri Russell,Dark Skies,Josh Hamilton,0,alien abduction|child's drawing|dead bird|bird flying into window|job interview,3500000,2013,6.3
Ridley Scott,117138,Penélope Cruz,16969390102014, Crime | Drama | Thriller,Michael Fassbender,The Counselor,Cameron Diaz,3,drug smuggling|binoculars|severed head|no panties|priest,25000000,2013,5.3
John Carney,104,Mark Ruffalo,16168741102014, Drama | Music,Keira Knightley,Begin Again,Adam Levine,0,manhattan new york city|new york city|record label|song|singer,8000000,2014,7.4
Joshua Michael Stern,128,Dermot Mulroney,16117443272013, Biography | Drama,Ashton Kutcher,Jobs,Josh Gad,0,entrepreneur|reference to radio shack|surname as title|year 1980|harmonica,12000000,2013,5.9
Ryan Coogler,85,Melonie Diaz,16097842252013, Biography | Drama | Romance,Michael B. Jordan,Fruitvale Station,Octavia Spencer,1,bay area|22 year old|b.a.r.t.|birthday|police,900000,2013,7.5
Richard Curtis,123,Rachel McAdams,15294553202013, Comedy | Drama | Fantasy | Romance | Sci-Fi,Domhnall Gleeson,About Time,Bill Nighy,1,time travel romance|time travel|lingerie slip|wedding|boyfriend girlfriend relationship,12000000,2013,7.8
Ed Gass-Donnelly,8893,Julia Garner,15152879292013, Drama | Horror | Thriller,Ashley Bell,The Last Exorcism Part II,Spencer Treat Clark,0,evil|prophecy|hotel|hospital|car fire,5000000,2013,4.0
Jason Reitman,111,Josh Brolin,13362308142014, Drama | Romance,Kate Winslet,Labor Day,Gattlin Griffith,0,tied to a chair|escaped convict|neighbor|baseball practice|baseball,18000000,2014,6.9
Ethan Coen,104,Carey Mulligan,1321425572014, Drama | Music,Oscar Isaac,Inside Llewyn Davis,John Goodman,0,1960s|reference to the brooklyn bridge manhattan new york city|car hitting an animal|singer|folk singer,11000000,2014,7.4
Jee-woon Kim,107,Forest Whitaker,12026670222013, Action | Crime | Thriller,Arnold Schwarzenegger,The Last Stand,Johnny Knoxville,1,modern western|fbi|deputy|sheriff|escape,45000000,2013,6.4
Scott Cooper,116,Casey Affleck,11326836312014, Crime | Drama | Thriller,Christian Bale,Out of the Furnace,Zoe Saldana,0,drug dealer|fight club|ambiguous ending|revenge|brother brother relationship,22000000,2013,6.8
Niels Arden Oplev,118,Noomi Rapace,10880926122013, Action | Crime | Drama | Thriller,Colin Farrell,Dead Man Down,Dominic Cooper,0,crime lord|new york city|dead body|truck explosion|dead body in a freezer,30000000,2013,6.5
Amma Asante,104,Matthew Goode,10722990222014, Biography | Drama | History | Romance,Gugu Mbatha-Raw,Belle,Emily Watson,1,england|slavery|18th century|portrait|abolitionist,10900000,2014,7.4
Courtney Solomon,90,Selena Gomez,10494494272013, Action | Crime | Thriller,Ethan Hawke,Getaway,Jon Voight,1,race against time|race car driver|villain escapes|gunfight|die hard scenario,18000000,2013,4.4
Tina Gordon Chism,,Kerry Washington,912383472013, Comedy | Romance,Craig Robinson,Peeples,David Alan Grier,0,african american,15000000,2013,5.3
Benson Lee,110,Laz Alonso,8888355182013, Drama | Music,Josh Holloway,Battle of the Year,Josh Peck,0,3 dimensional|dancing|box office flop|critically bashed,20000000,2013,5.0
Elizabeth Banks,94,Stephen Merchant,882877182013, Comedy | Romance,Emma Stone,Movie 43,Richard Gere,0,awkwardness|irreverence|shame|embarrassment|gross out,6000000,2013,4.3
Will Finn,88,Kelsey Grammer,8460990252014, Animation | Adventure | Family | Fantasy | Musical,Lea Michele,Legends of Oz: Dorothy's Return,Dan Aykroyd,0,oz|jester|owl|kansas|tornado,70000000,2014,5.6
Justin Chadwick,141,Naomie Harris,8324748212014, Biography | Drama | History,Idris Elba,Mandela: Long Walk to Freedom,Terry Pheto,1,nelson mandela|president|resistance|africa|apartheid,35000000,2013,7.1
Richard Linklater,109,Julie Delpy,811450712013, Drama | Romance,Ethan Hawke,Before Midnight,Seamus Davey-Fitzpatrick,0,friend|greece|greek|twin|hotel,3000000,2013,7.9
Vijay Krishna Acharya,172,Katrina Kaif,8031955102014, Action | Crime | Thriller,Aamir Khan,Dhoom:3,Abhishek Bachchan,0,circus|suicide|chicago illinois|roller coaster|falling in love,,2013,5.4
Jason Bateman,89,Kathryn Hahn,7764027162014, Comedy | Drama,Jason Bateman,Bad Words,Allison Janney,0,spelling bee|spelling|two word title|directed by star|indian american,10000000,2014,6.7
Robert Luketic,106,Gary Oldman,7376027272013, Drama | Thriller,Liam Hemsworth,Paranoia,Harrison Ford,3,spying|power|mentor|danger|paranoia,35000000,2013,5.7
Robert Rodriguez,107,Alexa PenaVega,7268659252013, Action | Crime | Sci-Fi | Thriller,Danny Trejo,Machete Kills,Mel Gibson,0,machete|missile|arms dealer|bomb|battle,20000000,2013,5.6
Eli Roth,100,Ariel Levy,7186670302015, Adventure | Horror,Lorenza Izzo,The Green Inferno,Aaron Burns,0,gay kiss|color in title|rain|activist|rain forest,6000000,2015,5.4
Kasi Lemmons,93,Angela Bassett,7017178102014, Drama | Family | Music | Musical,Forest Whitaker,Black Nativity,Jennifer Hudson,0,christmas|nativity|color in title|based on the bible|based on stage musical,17500000,2013,4.4
