director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Sam Raimi,139156,Kirsten Dunst,336530303172007, Action | Adventure,Tobey Maguire,Spider-Man 3,Topher Grace,spider man|sandman|venom|villain|symbiote,258000000,2007,6.2
Chris Miller,93,Cameron Diaz,32070666532007, Animation | Adventure | Comedy | Family | Fantasy,Mike Myers,Shrek the Third,Eddie Murphy,prince|fairy tale|princess|disney spoof|tough guy,160000000,2007,6.1
Michael Bay,144,Megan Fox,318759914262007, Action | Adventure | Sci-Fi,Shia LaBeouf,Transformers,Josh Duhamel,teenage hero|alien contact|robot vs. robot|autobot|decepticon,150000000,2007,7.1
Gore Verbinski,169,Orlando Bloom,309404152282007, Action | Adventure | Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End,Keira Knightley,pirate|goddess|singapore|marriage ceremony|marriage proposal,300000000,2007,7.1
David Yates,138,Emma Watson,29200086672007, Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Harry Potter and the Order of the Phoenix,Rupert Grint,teacher|magic|school|wizard|battle,150000000,2007,7.5
Francis Lawrence,101104,Alice Braga,25638621642008, Drama | Horror | Sci-Fi,Will Smith,I Am Legend,Charlie Tahan,post apocalypse|virus|new york city|survivalist|loneliness,150000000,2007,7.2
Paul Greengrass,115,Edgar Ramírez,227137090222007, Action | Mystery | Thriller,Matt Damon,The Bourne Ultimatum,Joan Allen,memory|dark past|flashback|blockbuster|surprise ending,110000000,2007,8.1
Jon Turteltaub,124,Diane Kruger,219961501132008, Action | Adventure | Family | Mystery | Thriller,Nicolas Cage,National Treasure: Book of Secrets,Justin Bartha,gate|diary|book|treasure|france,130000000,2007,6.5
Tim Hill,92,David Cross,217326336302008, Animation | Comedy | Family | Fantasy | Music,Jason Lee,Alvin and the Chipmunks,Cameron Richardson,fart joke|concert|talking animal|based on cartoon|chipmunk,60000000,2007,5.2
Brad Bird,111,Lou Romano,20643549372007, Animation | Comedy | Family | Fantasy,Brad Garrett,Ratatouille,Patton Oswalt,rat|chef|soup|hair|ratatouille,150000000,2007,8.0
David Silverman,87,Julie Kavner,183132370142007, Animation | Adventure | Comedy,Dan Castellaneta,The Simpsons Movie,Nancy Cartwright,pig|dome|the simpsons|alaska|lake,75000000,2007,7.4
Walt Becker,100,Martin Lawrence,168213584272007, Action | Adventure | Comedy,Tim Allen,Wild Hogs,John Travolta,friend|motorcycle|new mexico|road trip|biker gang,,2007,5.9
Judd Apatow,129133,Katherine Heigl,148734225212007, Comedy | Romance,Seth Rogen,Knocked Up,Paul Rudd,unplanned pregnancy|one night stand|pregnancy|website|slacker,30000000,2007,7.0
Jason Reitman,96,Michael Cera,143492840132008, Comedy | Drama,Ellen Page,Juno,Jennifer Garner,pregnancy|adoption|baby|friend|school,7500000,2007,7.5
