director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
J.R. Sawyers,83,Laura Alexandra Ramos,, Comedy | Drama,Tyler Langdon,Nerve,Peter DiVito,,27500,2011,7.3
Niels Nørløv Hansen,,Anders W. Berthelsen,, Comedy,Nicolaj Kopernikus,Klassefesten,Troels Lyby,reunion|older man teenage girl relationship|older man young girl relationship|older man younger woman|older man younger woman relationship,16500000,2011,5.9
Yann Samuell,95,Emma Fielding,, Family | Fantasy | Horror,Jason Isaacs,The Great Ghost Rescue,Georgia Groome,based on novel,,2011,4.7
Roschdy Zem,85,Denis Podalydès,, Crime | Drama,Sami Bouajila,Omar m'a tuer,Maurice Bénichou,prison|journalist|controversy|suicide attempt|book,,2011,6.7
Alex Pillai,86,Ashley Madekwe,, Action | Drama,Ashley Chin,Victim,Jason Maza,,,2012,5.1
Peter C. Spencer,102,Mimi Sagadin,, Drama | History | Thriller | War,John Rhys-Davies,Return to the Hiding Place,Craig Robert Young,nazis|jewish|jew|nazi|world war two,,2014,4.8
Roger Melvin,10490,Caryn Ward,, Comedy | Romance,Jason Weaver,He's Mine Not Yours,Gabrielle Dennis,,,2011,5.1
Cristina Comencini,114,Filippo Timi,, Drama,Claudia Pandolfi,Quando la notte,Thomas Trabacchi,snow|mountain|box office flop|critically bashed|mother son relationship,10000000,2011,5.6
Birger Larsen,,Jakob Cedergren,, Crime | Drama | Thriller,Laura Bach,Den som dræber - Fortidens skygge,Lars Mikkelsen,,,2012,6.5
Travis Holt Hamilton,93,Greg Fernandez,, Comedy,Tatanka Means,More Than Frybread,Mary Kim Titla,,,2012,8.1
Rune Schjøtt,,Marta Holm Peschcke-Køedt,, Comedy | Drama | Romance,Lukas Schwarz Thorsteinsson,Skyskraber,Lucas Schultz,blind girl|boy|girl|virginity|danish blonde,3650000,2011,6.2
Jaco Van Dormael,90,Gregory Grosjean,, Fantasy,Michèle-Anne De Mey,Kiss & Cry,Jaco Van Dormael,,,2013,8.3
Björn Runge,97,Malin Buska,, Crime | Drama,Ann Petrén,Happy End,Gustaf Skarsgård,female nudity|sex|male full frontal nudity|male pubic hair|pubic hair,,2011,6.1
Marko Mäkilaakso,86,Jouko Ahola,, Action | Adventure | Horror | Sci-Fi | Thriller | War,Andrew Tiernan,War of the Dead,Samuel Vauramo,soldier|german soldier|undead|bunker|finnish soldier,1000000,2012,4.1
Wilson Yip,100,Yifei Liu,, Fantasy | Horror,Louis Koo,Sien nui yau wan,Shaoqun Yu,,,2011,5.7
Alex Steyermark,96,Kyle Gallner,, Comedy,Tania Raymonde,Losers Take All,Allison Scagliotti,,,2013,6.6
José Henrique Fonseca,116,Angie Cepeda,, Biography | Drama | Sport,Rodrigo Santoro,Heleno,Alinne Moraes,black and white|brazil|soccer player|soccer|1950s,,2012,7.0
Sheldon Larry,105,Andre Myers,, Comedy | Drama | Musical | Romance,Ephraim Sykes,Leave It on the Floor,Phillip Evelyn,dance|african american|kicked out of the house|dancing|singing,,2012,6.2
Aleksandr Zeldovich,158,Vitaliy Kishchenko,, Drama | Sci-Fi,Anton Khabarov,Mishen,Danila Kozlovsky,female nudity|nudity|male nudity|male frontal nudity,,2011,5.9
João Canijo,131190,Rita Blanco,, Drama | Thriller,Rafael Morais,Blood of My Blood,Anabela Moreira,,,2011,7.5
Kyu-maan Lee,,Seung-ryong Ryu,, Crime | Thriller,Yong-woo Park,A-i-deul...,Dong-il Sung,,,2011,7.2
Robert Child,,Corey Reynolds,, Action,Ken Arnold,The Wereth Eleven,Al Stone,battle of the bulge|war crime|world war two,1000000,2011,6.0
