director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Gore Verbinski,151,Orlando Bloom,42303262812006, Action | Adventure | Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Keira Knightley,heart|box office hit|liar's dice|monster|giant squid,225000000,2006,7.3
Shawn Levy,108,Carla Gugino,250863268222007, Adventure | Comedy | Family | Fantasy,Ben Stiller,Night at the Museum,Ricky Gervais,museum|museum of natural history|watchman|night watchman|chaos,110000000,2006,6.4
John Lasseter,117,Bonnie Hunt,244052771132006, Animation | Adventure | Comedy | Family | Sport,Owen Wilson,Cars,Paul Newman,car|route 66|truck|tow truck|desert,120000000,2006,7.2
Brett Ratner,104,Hugh Jackman,234360014222006, Action | Adventure | Fantasy | Sci-Fi | Thriller,Patrick Stewart,X-Men: The Last Stand,Halle Berry,x men|walking through a wall|mutant|battle|outrage,210000000,2006,6.8
Ron Howard,149174,Audrey Tautou,217536138182006, Mystery | Thriller,Tom Hanks,The Da Vinci Code,Jean Reno,based on supposedly true story|secret|mary magdalene|holy grail|opus dei,125000000,2006,6.6
Zack Snyder,117,Lena Headey,21059259062007, Action | Drama | Fantasy | War,Gerard Butler,300,David Wenham,spartan|greece|battle|warrior|epic,65000000,2007,7.7
Bryan Singer,154169,Kevin Spacey,200069408272006, Action | Adventure | Sci-Fi,Brandon Routh,Superman Returns,Kate Bosworth,lois lane|lex luthor|crystal|epic|return to earth,209000000,2006,6.1
George Miller,108,Brittany Murphy,19799282742007, Animation | Comedy | Family | Music | Romance,Elijah Wood,Happy Feet,Hugh Jackman,penguin|emperor penguin|dance|friend|tap dancing,100000000,2006,6.5
Carlos Saldanha,9190115,John Leguizamo,19532976312006, Animation | Action | Adventure | Comedy | Family | Fantasy,Ray Romano,Ice Age: The Meltdown,Denis Leary,no opening credits|mammoth|valley|flood|squirrel,80000000,2006,6.9
Martin Campbell,144,Eva Green,167007184232007, Action | Adventure | Thriller,Daniel Craig,Casino Royale,Judi Dench,casino|free running|espionage|james bond|terrorist,150000000,2006,8.0
Gabriele Muccino,117,Thandie Newton,162586036232007, Biography | Drama,Will Smith,The Pursuit of Happyness,Jaden Smith,internship|stockbroker|salesman|intern|bus,55000000,2006,8.0
Tim Johnson,83,Garry Shandling,15501934012006, Animation | Adventure | Comedy | Family,Bruce Willis,Over the Hedge,Steve Carell,food|raccoon|forest|bear|turtle,80000000,2006,6.8
Adam McKay,108122,John C. Reilly,148213377132006, Action | Comedy | Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,Sacha Baron Cohen,racing|nascar|friend|french|car racing,72500000,2006,6.6
Frank Coraci,107,Kate Beckinsale,137340146222006, Comedy | Drama | Fantasy | Romance,Adam Sandler,Click,Christopher Walken,remote control|architect|stopped time|frozen time|obese man,70000000,2006,6.4
J.J. Abrams,126124,Michelle Monaghan,133382309142006, Action | Adventure | Thriller,Tom Cruise,Mission: Impossible III,Ving Rhames,fictional government agency|rescue|mission|vatican|arms dealer,150000000,2006,6.9
Martin Scorsese,151,Matt Damon,132373442162007, Crime | Drama | Thriller,Leonardo DiCaprio,The Departed,Jack Nicholson,boston|police|mole|undercover|undercover cop,90000000,2006,8.5
Larry Charles,8482,Ken Davitian,128505958232007, Comedy,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Luenell,california|kazakhstan|travel|tv reporter|city,18000000,2006,7.3
